FECHA,COD_DIA VISITA,DIA VISITA,COD SEMANAL,SEMANAL,COD QUINCENAL,QUINCENAL ,COD MENSUAL,MENSUAL
27/05/2023,007,Sabado,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
28/05/2023,001,Domingo,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
29/05/2023,002,Lunes,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
30/05/2023,003,Martes,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
31/05/2023,004,Miercoles,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
1/6/2023,005,Jueves,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
2/6/2023,006,Viernes,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
3/6/2023,007,Sabado,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
4/6/2023,001,Domingo,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
5/6/2023,002,Lunes,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
6/6/2023,003,Martes,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
7/6/2023,004,Miercoles,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
8/6/2023,005,Jueves,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
9/6/2023,006,Viernes,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
10/6/2023,007,Sabado,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
11/6/2023,001,Domingo,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
12/6/2023,002,Lunes,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
13/06/2023,003,Martes,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
14/06/2023,004,Miercoles,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
15/06/2023,005,Jueves,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
16/06/2023,006,Viernes,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
17/06/2023,007,Sabado,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
18/06/2023,001,Domingo,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
19/06/2023,002,Lunes,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
20/06/2023,003,Martes,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
21/06/2023,004,Miercoles,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
22/06/2023,005,Jueves,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
23/06/2023,006,Viernes,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
24/06/2023,007,Sabado,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
25/06/2023,001,Domingo,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
26/06/2023,002,Lunes,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
27/06/2023,003,Martes,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
28/06/2023,004,Miercoles,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
29/06/2023,005,Jueves,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
30/06/2023,006,Viernes,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
1/7/2023,007,Sabado,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
2/7/2023,001,Domingo,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
3/7/2023,002,Lunes,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
4/7/2023,003,Martes,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
5/7/2023,004,Miercoles,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
6/7/2023,005,Jueves,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
7/7/2023,006,Viernes,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
8/7/2023,007,Sabado,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
9/7/2023,001,Domingo,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
10/7/2023,002,Lunes,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
11/7/2023,003,Martes,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
12/7/2023,004,Miercoles,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
13/07/2023,005,Jueves,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
14/07/2023,006,Viernes,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
15/07/2023,007,Sabado,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
16/07/2023,001,Domingo,001,Semanal,002,Quincena 1 y 3,004,Mensual Semana 1
17/07/2023,002,Lunes,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
18/07/2023,003,Martes,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
19/07/2023,004,Miercoles,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
20/07/2023,005,Jueves,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
21/07/2023,006,Viernes,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
22/07/2023,007,Sabado,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
23/07/2023,001,Domingo,001,Semanal,003,Quincena 2 y 4,005,Mensual Semana 2
24/07/2023,002,Lunes,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
25/07/2023,003,Martes,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
26/07/2023,004,Miercoles,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
27/07/2023,005,Jueves,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
28/07/2023,006,Viernes,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
29/07/2023,007,Sabado,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
30/07/2023,001,Domingo,001,Semanal,002,Quincena 1 y 3,006,Mensual Semana 3
31/07/2023,002,Lunes,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
1/8/2023,003,Martes,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
2/8/2023,004,Miercoles,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
3/8/2023,005,Jueves,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
4/8/2023,006,Viernes,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
5/8/2023,007,Sabado,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
6/8/2023,001,Domingo,001,Semanal,003,Quincena 2 y 4,007,Mensual Semana 4
